"Index","Name","Category","Definition Link"
,"Czech Republic physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-czech-republic-physical-addresses"
,"Denmark driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-denmark-drivers-license-number"
,"Denmark passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-denmark-passport-number"
,"Denmark personal identification number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-denmark-personal-identification-number"
,"Denmark physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-denmark-physical-addresses"
,"Diseases","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-diseases"
,"Drug Enforcement Agency (DEA) number","Country-Specific","https://learn.microsoft.com/en-us/purview/sit-defn-drug-enforcement-agency-number"
,"Ecuador Unique Identification Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-ecuador-unique-identification-number"
,"Estonia driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-estonia-drivers-license-number"
,"Estonia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-estonia-passport-number"
,"Estonia Personal Identification Code","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-estonia-personal-identification-code"
,"Estonia physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-estonia-physical-addresses"
,"EU debit card number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-eu-debit-card-number"
,"EU driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-eu-drivers-license-number"
,"EU national identification number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-eu-national-identification-number"
,"EU passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-eu-passport-number"
,"EU Social Security Number (SSN) or Equivalent ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-eu-social-security-number-equivalent-identification"
,"EU Tax Identification Number (TIN)","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-eu-tax-identification-number"
,"Finland driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-finland-drivers-license-number"
,"Finland European health insurance number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-finland-european-health-insurance-number"
,"Finland national ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-finland-national-id"
,"Finland passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-finland-passport-number"
,"Finland physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-finland-physical-addresses"
,"France driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-france-drivers-license-number"
,"France health insurance number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-france-health-insurance-number"
,"France national id card (CNI)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-france-national-id-card"
,"France passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-france-passport-number"
,"France physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-france-physical-addresses"
,"France social security number (INSEE)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-france-social-security-number"
,"France Tax Identification Number (numéro SPI.)","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-france-tax-identification-number"
,"France value added tax number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-france-value-added-tax-number"
,"General password","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-general-password"
,"General Symmetric key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-general-symmetric-key"
,"Generic medication names","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-generic-medication-names"
,"German Driver's License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-germany-drivers-license-number"
,"Germany identity card number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-germany-identity-card-number"
,"German Passport Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-germany-passport-number"
,"Germany physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-germany-physical-addresses"
,"Germany tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-germany-tax-identification-number"
,"Germany value added tax number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-germany-value-added-tax-number"
,"GitHub Personal Access Token","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-github-personal-access-token"
,"Google API key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-google-api-key"
,"Greece driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-greece-drivers-license-number"
,"Greece national ID card","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-greece-national-id-card"
,"Greece passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-greece-passport-number"
,"Greece physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-greece-physical-addresses"
,"Greece Social Security Number (AMKA)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-greece-social-security-number"
,"Greek Tax identification Number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-greece-tax-identification-number"
,"Hong Kong identity card (HKID) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-hong-kong-identity-card-number"
,"Http authorization header","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-http-authorization-header"
,"Hungary driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-drivers-license-number"
,"Hungary passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-passport-number"
,"Hungary personal identification number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-personal-identification-number"
,"Hungary physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-physical-addresses"
